Week,Sum of num_orders,forecastValue,confidenceHighBound,confidenceLowBound
1,113218,,,
2,94048,,,
3,82063,,,
4,80333,,,
5,71882,,,
6,63264,,,
7,68758,,,
8,67738,,,
9,73918,,,
10,187790,,,
11,168044,,,
12,108706,,,
13,77290,,,
14,68165,,,
15,64380,,,
16,61945,,,
17,77240,,,
18,314753,,,
19,138895,,,
20,83674,,,
21,95019,,,
22,210751,,,
23,187041,,,
24,84708,,,
25,80824,,,
26,86063,,,
27,87368,,,
28,87481,,,
29,74733,,,
30,297530,,,
31,109836,,,
32,381664,,,
33,94260,,,
34,81137,,,
35,55841,,,
36,94129,,,
37,83066,,,
38,77534,,,
39,81760,,,
40,103700,,,
41,85801,,,
42,84237,,,
43,80058,,,
44,82724,,,
45,86911,,,
46,122514,,,
47,161661,,,
48,485452,,,
49,107033,,,
50,95383,,,
51,112784,,,
52,100474,,,
53,113147,,,
54,72662,,,
55,88119,,,
56,76813,,,
57,89785,,,
58,81448,,,
59,85061,,,
60,456194,,,
61,99815,,,
62,43129,,,
63,107070,,,
64,100394,,,
65,92870,,,
66,96440,,,
67,98986,,,
68,368918,,,
69,374333,,,
70,388667,,,
71,347178,,,
72,92188,,,
73,86215,,,
74,137626,,,
75,262279,,,
76,139359,,,
77,74156,,,
78,78912,,,
79,249155,,,
80,87640,,,
81,87408,,,
82,87894,,,
83,101026,,,
84,86853,,,
85,73835,,,
86,69925,,,
87,69959,,,
88,58509,,,
89,57266,,,
90,55084,,,
91,66379,,,
92,164613,,,
93,157477,,,
94,91125,,,
95,84321,,,
96,83138,,,
97,70945,,,
98,83724,,,
99,68708,,,
100,88196,,,
101,73583,,,
102,61349,,,
103,53690,,,
104,77150,,,
105,116593,,,
106,79075,,,
107,74580,,,
108,158765,,,
109,168023,,,
110,202679,,,
111,182700,,,
112,186540,,,
113,90244,,,
114,83224,,,
115,76565,,,
116,128110,,,
117,70149,,,
118,69159,,,
119,68149,,,
120,62754,,,
121,220621,,,
122,210882,,,
123,205204,,,
124,190903,,,
125,78849,,,
126,82259,,,
127,79550,,,
128,285481,,,
129,209072,,,
130,94855,,,
131,108396,,,
132,275677,,,
133,213875,,,
134,93349,,,
135,104023,,,
136,92878,,,
137,76096,,,
138,73313,,,
139,100160,,,
140,97630,,,
141,84638,,,
142,82977,,,
143,94747,,,
144,93063,,,
145,84678,84678,84678,84678
146,,58792,209944,'-92360
147,,62694,215041,'-89653
148,,55533,209066,'-98000
149,,51967,206677,'-102742
150,,248629,404507,92752
151,,71467,228503,'-85570
152,,176155,334342,17968
153,,102577,261907,'-56752
154,,73774,234238,'-86690
155,,59793,221383,'-101798
156,,72993,235702,'-89716
157,,66344,230163,'-97476
158,,159398,324321,'-5525
159,,157436,323455,'-8582
160,,221911,389019,54804
161,,192036,360226,23847
162,,64574,233839,'-104690
163,,59719,230052,'-110613
164,,86835,258229,'-84558
165,,121605,294054,'-50843
166,,91351,264848,'-82146
167,,88306,262846,'-86233
168,,275671,451247,100096
169,,147327,323932,'-29279
170,,71185,248814,'-106445
171,,80568,259215,'-98079
172,,115129,294789,'-64530
173,,114499,295165,'-66167
174,,61596,243263,'-120071
175,,61692,244355,'-120971
